"","DATE","age","bmr","height","m_active_time","m_calories","m_distance","m_inactive_time","m_lcat","m_lcit","m_steps","m_total_calories","s_asleep_time","s_awake","s_awake_time","s_awakenings","s_bedtime","s_clinical_deep","s_count","s_deep","s_duration","s_light","s_quality","s_rem","weight"
"113",20150423,23.3315068493151,1972.00593013699,1.87,5142,467.34282690362,7975,27120,567,4860,9523,2439.34875704061,2938,2804,28500,4,2265,0,1,10023,23581,13558,65,0,82
"114",20150424,23.3342465753425,1971.98742328767,1.87,3496,338.62718954663,5531,26100,985,9540,6546,2310.6146128343,6898,1007,27900,1,6188,0,1,8365,20900,12535,56,0,82
"115",20150425,23.3369863013699,1971.96891643836,1.87,6669,700.427852094915,11230,30480,2371,7140,12900,2672.39676853327,7258,1300,37800,0,6356,0,1,10439,30400,19961,81,0,82
"116",20150426,23.3397260273973,1971.95040958904,1.87,3788,382.293348343441,6154,28800,339,18060,7208,2354.24375793248,3900,2917,27300,2,3202,0,1,11052,21851,10799,63,0,82
"117",20150427,23.3424657534247,1971.93190273973,1.87,9461,860.06284569899,14438,21900,2083,4380,17348,2831.99474843872,8520,8679,36600,4,8258,0,1,6487,20346,13859,50,0,82
"118",20150428,23.3452054794521,1971.91339589041,1.87,2383,199.091883420755,3516,30420,558,11220,4297,2171.00527931117,-2403,1223,37500,0,-3620,0,1,15907,39968,24061,100,0,82
"119",20150429,23.3479452054795,1971.8948890411,1.87,5180,474.276265264725,8077,27180,754,9240,9676,2446.17115430582,4319,1311,32400,0,3601,0,1,14281,28148,13867,81,0,82
"120",20150430,23.3506849315068,1971.87638219178,1.87,5033,473.92268186825,8034,27720,759,7500,9483,2445.79906406003,5400,1843,28500,1,4493,0,1,9843,22931,13088,62,0,82
"121",20150501,23.3534246575342,1971.85787534247,1.87,11480,1253.24829140003,19620,14220,3085,2580,22445,3225.10616674249,3239,2249,30600,1,2538,0,1,13155,26963,13808,77,0,82
"122",20150502,23.3561643835616,1971.83936849315,1.87,3491,334.543280452949,5592,26940,559,8880,6583,2306.3826489461,7438,8107,30000,1,714,0,1,9540,21839,12299,59,0,82
"123",20150503,23.358904109589,1971.82086164384,1.87,1777,174.68292617771,2875,32220,301,25320,3358,2146.50378782155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
"124",20150504,23.3616438356164,1971.80235479452,1.87,4537,435.4070427228,7261,26160,874,9420,8559,2407.20939751732,117,1119,27600,0,-546,0,1,10681,27429,16748,73,0,82
"125",20150505,23.3643835616438,1971.78384794521,1.87,10703,938.077121782049,15619,20460,3215,3840,19101,2909.86096972725,3419,2241,31200,2,2371,0,1,9015,27079,18064,67,0,82
"126",20150506,23.3671232876712,1971.76534109589,1.87,7751,763.180725991085,12471,27000,1731,6540,14642,2734.94606708698,5280,2189,33000,1,4603,0,1,11756,27321,15565,74,0,82
"127",20150507,23.3698630136986,1971.74683424658,1.87,2742,268.500942581106,4442,28500,741,10200,5215,2240.24777682768,5280,1572,33300,0,4261,0,1,11280,28135,16855,76,0,82
"128",20150508,23.372602739726,1971.72832739726,1.87,9369,889.086047203526,11636,21780,2086,4200,13692,2860.81437460079,7079,1293,29700,1,6082,0,1,8878,22466,13588,60,0,82
"129",20150509,23.3753424657534,1971.70982054795,1.87,5122,528.377451493528,8532,25560,2063,6840,9915,2500.08727204147,779,8296,31800,4,-3563,0,1,12526,27127,14601,78,0,82
"130",20150510,23.3780821917808,1971.69131369863,1.87,4168,430.322561890855,6858,28920,729,22080,7991,2402.01387558949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
"131",20150511,23.3808219178082,1971.67280684932,1.87,9128,1057.93116396464,10480,25980,906,6660,12382,3029.60397081395,118,1553,25800,2,-299,0,1,9322,24635,15313,64,0,82
